k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_H;d_B;d_t;d_ro;d_ri
KP-60X60X3;K;60×60;3;60×60×3;60 × 60;5.19;6.61;35.13;35.13;11.71;11.71;2.31;2.31;0.23;60;60;3;6;3
KP-60X60X4;K;60×60;4;60×60×4;60 × 60;6.71;8.55;43.55;43.55;14.52;14.52;2.26;2.26;0.226;60;60;4;8;4
KP-60X60X5;K;60×60;5;60×60×5;60 × 60;8.13;10.36;50.49;50.49;16.83;16.83;2.21;2.21;0.223;60;60;5;10;5
KP-70X70X2;K;70×70;2;70×70×2;70 × 70;4.19;5.34;40.72;40.72;11.64;11.64;2.76;2.76;0.273;70;70;2;4;2
KP-70X70X2.5;K;70×70;2.5;70×70×2,5;70 × 70;5.17;6.59;49.41;49.41;14.12;14.12;2.74;2.74;0.271;70;70;2.5;5.0;2.5
KP-70X70X3;K;70×70;3;70×70×3;70 × 70;6.13;7.81;57.52;57.52;16.44;16.44;2.71;2.71;0.27;70;70;3;6;3
KP-70X70X4;K;70×70;4;70×70×4;70 × 70;7.97;10.15;72.12;72.12;20.6;20.6;2.67;2.67;0.266;70;70;4;8;4
KP-70X70X5;K;70×70;5;70×70×5;70 × 70;9.7;12.36;84.62;84.62;24.18;24.18;2.62;2.62;0.263;70;70;5;10;5
KP-80X80X2;K;80×80;2;80×80×2;80 × 80;4.82;6.14;61.7;61.7;15.42;15.42;3.17;3.17;0.313;80;80;2;4;2
KP-80X80X2.5;K;80×80;2.5;80×80×2,5;80 × 80;5.96;7.59;75.15;75.15;18.79;18.79;3.15;3.15;0.311;80;80;2.5;5.0;2.5
KP-80X80X3;K;80×80;3;80×80×3;80 × 80;7.07;9.01;87.84;87.84;21.96;21.96;3.12;3.12;0.31;80;80;3;6;3
KP-80X80X4;K;80×80;4;80×80×4;80 × 80;9.22;11.75;111.04;111.04;27.76;27.76;3.07;3.07;0.306;80;80;4;8;4
KP-80X80X5;K;80×80;5;80×80×5;80 × 80;11.27;14.36;131.43;131.43;32.86;32.86;3.03;3.03;0.303;80;80;5;10;5
KP-90X90X2;K;90×90;2;90×90×2;90 × 90;5.45;6.94;88.86;88.86;19.75;19.75;3.58;3.58;0.353;90;90;2;4;2
KP-90X90X2.5;K;90×90;2.5;90×90×2,5;90 × 90;6.74;8.59;108.55;108.55;24.12;24.12;3.56;3.56;0.351;90;90;2.5;5.0;2.5
KP-90X90X3;K;90×90;3;90×90×3;90 × 90;8.01;10.21;127.28;127.28;28.28;28.28;3.53;3.53;0.35;90;90;3;6;3
KP-90X90X4;K;90×90;4;90×90×4;90 × 90;10.48;13.35;161.91;161.91;35.98;35.98;3.48;3.48;0.346;90;90;4;8;4
KP-90X90X5;K;90×90;5;90×90×5;90 × 90;12.84;16.36;192.92;192.92;42.87;42.87;3.43;3.43;0.343;90;90;5;10;5
KP-90X90X6;K;90×90;6;90×90×6;90 × 90;15.1;19.23;220.46;220.46;48.99;48.99;3.39;3.39;0.339;90;90;6;12;6
KP-100X100X2;K;100×100;2;100×100×2;100 × 100;6.07;7.74;123.01;123.01;24.6;24.6;3.99;3.99;0.393;100;100;2;4;2
KP-100X100X2.5;K;100×100;2.5;100×100×2,5;100 × 100;7.53;9.59;150.63;150.63;30.13;30.13;3.96;3.96;0.391;100;100;2.5;5.0;2.5
KP-100X100X3;K;100×100;3;100×100×3;100 × 100;8.96;11.41;177.04;177.04;35.41;35.41;3.94;3.94;0.39;100;100;3;6;3
KP-100X100X4;K;100×100;4;100×100×4;100 × 100;11.73;14.95;226.34;226.34;45.27;45.27;3.89;3.89;0.386;100;100;4;8;4
KP-100X100X5;K;100×100;5;100×100×5;100 × 100;14.41;18.36;271.09;271.09;54.22;54.22;3.84;3.84;0.383;100;100;5;10;5
KP-100X100X6;K;100×100;6;100×100×6;100 × 100;16.98;21.63;311.45;311.45;62.29;62.29;3.79;3.79;0.379;100;100;6;12;6
KP-120X120X3;K;120×120;3;120×120×3;120 × 120;10.84;13.81;312.34;312.34;52.06;52.06;4.76;4.76;0.47;120;120;3;6;3
KP-120X120X4;K;120×120;4;120×120×4;120 × 120;14.25;18.15;402.26;402.26;67.04;67.04;4.71;4.71;0.466;120;120;4;8;4
KP-120X120X5;K;120×120;5;120×120×5;120 × 120;17.55;22.36;485.45;485.45;80.91;80.91;4.66;4.66;0.463;120;120;5;10;5
KP-120X120X6;K;120×120;6;120×120×6;120 × 120;20.75;26.43;562.13;562.13;93.69;93.69;4.61;4.61;0.459;120;120;6;12;6
KP-120X120X8;K;120×120;8;120×120×8;120 × 120;26.41;33.64;676.81;676.81;112.8;112.8;4.49;4.49;0.446;120;120;8;20.0;12.0
KP-140X140X3;K;140×140;3;140×140×3;140 × 140;12.72;16.21;503.33;503.33;71.9;71.9;5.57;5.57;0.55;140;140;3;6;3
KP-140X140X4;K;140×140;4;140×140×4;140 × 140;16.76;21.35;651.6;651.6;93.09;93.09;5.52;5.52;0.546;140;140;4;8;4
KP-140X140X5;K;140×140;5;140×140×5;140 × 140;20.69;26.36;790.53;790.53;112.93;112.93;5.48;5.48;0.543;140;140;5;10;5
KP-140X140X6;K;140×140;6;140×140×6;140 × 140;24.52;31.23;920.39;920.39;131.48;131.48;5.43;5.43;0.539;140;140;6;12;6
KP-140X140X8;K;140×140;8;140×140×8;140 × 140;31.43;40.04;1126.68;1126.68;160.95;160.95;5.3;5.3;0.526;140;140;8;20.0;12.0
KP-150X150X3;K;150×150;3;150×150×3;150 × 150;13.67;17.41;622.72;622.72;83.03;83.03;5.98;5.98;0.59;150;150;3;6;3
KP-150X150X4;K;150×150;4;150×150×4;150 × 150;18.01;22.95;807.8;807.8;107.71;107.71;5.93;5.93;0.586;150;150;4;8;4
KP-150X150X5;K;150×150;5;150×150×5;150 × 150;22.26;28.36;982.09;982.09;130.94;130.94;5.89;5.89;0.583;150;150;5;10;5
KP-150X150X6;K;150×150;6;150×150×6;150 × 150;26.4;33.63;1145.86;1145.86;152.78;152.78;5.84;5.84;0.579;150;150;6;12;6
KP-150X150X8;K;150×150;8;150×150×8;150 × 150;33.94;43.24;1411.73;1411.73;188.23;188.23;5.71;5.71;0.566;150;150;8;20.0;12.0
KP-160X160X4;K;160×160;4;160×160×4;160 × 160;19.27;24.55;987.15;987.15;123.39;123.39;6.34;6.34;0.626;160;160;4;8;4
KP-160X160X5;K;160×160;5;160×160×5;160 × 160;23.83;30.36;1202.32;1202.32;150.29;150.29;6.29;6.29;0.623;160;160;5;10;5
KP-160X160X6;K;160×160;6;160×160×6;160 × 160;28.29;36.03;1405.43;1405.43;175.68;175.68;6.25;6.25;0.619;160;160;6;12;6
KP-160X160X8;K;160×160;8;160×160×8;160 × 160;36.46;46.44;1741.12;1741.12;217.64;217.64;6.12;6.12;0.606;160;160;8;20.0;12.0
KP-160X160X10;K;160×160;10;160×160×10;160 × 160;44.4;56.56;2047.49;2047.49;255.94;255.94;6.02;6.02;0.597;160;160;10;25.0;15.0
KP-180X180X4;K;180×180;4;180×180×4;180 × 180;21.78;27.75;1421.71;1421.71;157.97;157.97;7.16;7.16;0.706;180;180;4;8;4
KP-180X180X5;K;180×180;5;180×180×5;180 × 180;26.97;34.36;1736.82;1736.82;192.98;192.98;7.11;7.11;0.703;180;180;5;10;5
KP-180X180X6;K;180×180;6;180×180×6;180 × 180;32.05;40.83;2036.46;2036.46;226.27;226.27;7.06;7.06;0.699;180;180;6;12;6
KP-180X180X8;K;180×180;8;180×180×8;180 × 180;41.48;52.84;2545.71;2545.71;282.86;282.86;6.94;6.94;0.686;180;180;8;20.0;12.0
KP-180X180X10;K;180×180;10;180×180×10;180 × 180;50.68;64.56;3016.57;3016.57;335.17;335.17;6.84;6.84;0.677;180;180;10;25.0;15.0
KP-200X200X4;K;200×200;4;200×200×4;200 × 200;24.29;30.95;1968.09;1968.09;196.81;196.81;7.97;7.97;0.786;200;200;4;8;4
KP-200X200X5;K;200×200;5;200×200×5;200 × 200;30.11;38.36;2410.03;2410.03;241.0;241.0;7.93;7.93;0.783;200;200;5;10;5
KP-200X200X6;K;200×200;6;200×200×6;200 × 200;35.82;45.63;2832.67;2832.67;283.27;283.27;7.88;7.88;0.779;200;200;6;12;6
KP-200X200X8;K;200×200;8;200×200×8;200 × 200;46.5;59.24;3566.06;3566.06;356.61;356.61;7.76;7.76;0.766;200;200;8;20.0;12.0
KP-200X200X10;K;200×200;10;200×200×10;200 × 200;56.96;72.56;4250.77;4250.77;425.08;425.08;7.65;7.65;0.757;200;200;10;25.0;15.0
KP-220X220X5;K;220×220;5;220×220×5;220 × 220;33.25;42.36;3237.95;3237.95;294.36;294.36;8.74;8.74;0.863;220;220;5;10;5
KP-220X220X6;K;220×220;6;220×220×6;220 × 220;39.59;50.43;3813.26;3813.26;346.66;346.66;8.7;8.7;0.859;220;220;6;12;6
KP-220X220X8;K;220×220;8;220×220×8;220 × 220;51.53;65.64;4827.78;4827.78;438.89;438.89;8.58;8.58;0.846;220;220;8;20.0;12.0
KP-220X220X10;K;220×220;10;220×220×10;220 × 220;63.24;80.56;5782.1;5782.1;525.65;525.65;8.47;8.47;0.837;220;220;10;25.0;15.0
KP-220X220X12.5;K;220×220;12.5;220×220×12,5;220 × 220;76.17;97.04;6673.31;6673.31;606.66;606.66;8.29;8.29;0.816;220;220;12.5;37.5;25.0
KP-250X250X5;K;250×250;5;250×250×5;250 × 250;37.96;48.36;4804.92;4804.92;384.39;384.39;9.97;9.97;0.983;250;250;5;10;5
KP-250X250X6;K;250×250;6;250×250×6;250 × 250;45.24;57.63;5671.87;5671.87;453.75;453.75;9.92;9.92;0.979;250;250;6;12;6
KP-250X250X8;K;250×250;8;250×250×8;250 × 250;59.06;75.24;7228.9;7228.9;578.31;578.31;9.8;9.8;0.966;250;250;8;20.0;12.0
KP-250X250X10;K;250×250;10;250×250×10;250 × 250;72.66;92.56;8706.21;8706.21;696.5;696.5;9.7;9.7;0.957;250;250;10;25.0;15.0
