k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_H;d_B;d_t;d_ro;d_ri
KP-60X30X2.5;D;60×30;2.5;60×30×2,5;60 × 30;3.21;4.09;17.93;6.0;5.98;4.0;2.09;1.21;0.171;60;30;2.5;5.0;2.5
KP-60X30X3;D;60×30;3;60×30×3;60 × 30;3.77;4.81;20.5;6.8;6.83;4.53;2.06;1.19;0.17;60;30;3;6;3
KP-60X30X4;D;60×30;4;60×30×4;60 × 30;4.83;6.15;24.7;8.05;8.23;5.37;2.0;1.14;0.166;60;30;4;8;4
KP-60X30X5;D;60×30;5;60×30×5;60 × 30;5.77;7.36;27.74;8.91;9.25;5.94;1.94;1.1;0.163;60;30;5;10;5
KP-60X40X2;D;60×40;2;60×40×2;60 × 40;2.93;3.74;18.41;9.83;6.14;4.92;2.22;1.62;0.193;60;40;2;4;2
KP-60X40X2.5;D;60×40;2.5;60×40×2,5;60 × 40;3.6;4.59;22.07;11.74;7.36;5.87;2.19;1.6;0.191;60;40;2.5;5.0;2.5
KP-60X40X3;D;60×40;3;60×40×3;60 × 40;4.25;5.41;25.38;13.44;8.46;6.72;2.17;1.58;0.19;60;40;3;6;3
KP-60X40X4;D;60×40;4;60×40×4;60 × 40;5.45;6.95;30.98;16.28;10.33;8.14;2.11;1.53;0.186;60;40;4;8;4
KP-60X40X5;D;60×40;5;60×40×5;60 × 40;6.56;8.36;35.32;18.42;11.77;9.21;2.06;1.48;0.183;60;40;5;10;5
KP-70X30X2;D;70×30;2;70×30×2;70 × 30;2.93;3.74;22.22;5.86;6.35;3.91;2.44;1.25;0.193;70;30;2;4;2
KP-70X30X2.5;D;70×30;2.5;70×30×2,5;70 × 30;3.6;4.59;26.62;6.95;7.6;4.63;2.41;1.23;0.191;70;30;2.5;5.0;2.5
KP-70X30X3;D;70×30;3;70×30×3;70 × 30;4.25;5.41;30.57;7.9;8.73;5.26;2.38;1.21;0.19;70;30;3;6;3
KP-70X30X4;D;70×30;4;70×30×4;70 × 30;5.45;6.95;37.23;9.42;10.64;6.28;2.31;1.16;0.186;70;30;4;8;4
KP-70X30X5;D;70×30;5;70×30×5;70 × 30;6.56;8.36;42.29;10.49;12.08;6.99;2.25;1.12;0.183;70;30;5;10;5
KP-70X40X2;D;70×40;2;70×40×2;70 × 40;3.25;4.14;26.85;11.28;7.67;5.64;2.55;1.65;0.213;70;40;2;4;2
KP-70X40X2.5;D;70×40;2.5;70×40×2,5;70 × 40;3.99;5.09;32.31;13.5;9.23;6.75;2.52;1.63;0.211;70;40;2.5;5.0;2.5
KP-70X40X3;D;70×40;3;70×40×3;70 × 40;4.72;6.01;37.31;15.5;10.66;7.75;2.49;1.61;0.21;70;40;3;6;3
KP-70X40X4;D;70×40;4;70×40×4;70 × 40;6.08;7.75;45.95;18.88;13.13;9.44;2.44;1.56;0.206;70;40;4;8;4
KP-70X40X5;D;70×40;5;70×40×5;70 × 40;7.34;9.36;52.87;21.51;15.11;10.75;2.38;1.52;0.203;70;40;5;10;5
KP-70X50X2;D;70×50;2;70×50×2;70 × 50;3.56;4.54;31.47;18.76;8.99;7.5;2.63;2.03;0.233;70;50;2;4;2
KP-70X50X2.5;D;70×50;2.5;70×50×2,5;70 × 50;4.39;5.59;38.01;22.59;10.86;9.04;2.61;2.01;0.231;70;50;2.5;5.0;2.5
KP-70X50X3;D;70×50;3;70×50×3;70 × 50;5.19;6.61;44.05;26.1;12.59;10.44;2.58;1.99;0.23;70;50;3;6;3
KP-70X50X4;D;70×50;4;70×50×4;70 × 50;6.71;8.55;54.67;32.22;15.62;12.89;2.53;1.94;0.226;70;50;4;8;4
KP-70X50X5;D;70×50;5;70×50×5;70 × 50;8.13;10.36;63.46;37.2;18.13;14.88;2.48;1.9;0.223;70;50;5;10;5
KP-80X20X2;D;80×20;2;80×20×2;80 × 20;2.93;3.74;25.18;2.64;6.3;2.64;2.6;0.84;0.193;80;20;2;4;2
KP-80X20X2.5;D;80×20;2.5;80×20×2,5;80 × 20;3.6;4.59;30.08;3.08;7.52;3.08;2.56;0.82;0.191;80;20;2.5;5.0;2.5
KP-80X20X3;D;80×20;3;80×20×3;80 × 20;4.25;5.41;34.45;3.44;8.61;3.44;2.52;0.8;0.19;80;20;3;6;3
KP-80X20X4;D;80×20;4;80×20×4;80 × 20;5.45;6.95;41.66;3.95;10.42;3.95;2.45;0.75;0.186;80;20;4;8;4
KP-80X20X5;D;80×20;5;80×20×5;80 × 20;6.56;8.36;46.93;4.24;11.73;4.24;2.37;0.71;0.183;80;20;5;10;5
KP-80X40X2;D;80×40;2;80×40×2;80 × 40;3.56;4.54;37.36;12.72;9.34;6.36;2.87;1.67;0.233;80;40;2;4;2
KP-80X40X2.5;D;80×40;2.5;80×40×2,5;80 × 40;4.39;5.59;45.1;15.26;11.28;7.63;2.84;1.65;0.231;80;40;2.5;5.0;2.5
KP-80X40X3;D;80×40;3;80×40×3;80 × 40;5.19;6.61;52.25;17.55;13.06;8.78;2.81;1.63;0.23;80;40;3;6;3
KP-80X40X4;D;80×40;4;80×40×4;80 × 40;6.71;8.55;64.79;21.48;16.2;10.74;2.75;1.59;0.226;80;40;4;8;4
KP-80X40X5;D;80×40;5;80×40×5;80 × 40;8.13;10.36;75.1;24.59;18.78;12.3;2.69;1.54;0.223;80;40;5;10;5
KP-80X60X2;D;80×60;2;80×60×2;80 × 60;4.19;5.34;49.53;31.87;12.38;10.62;3.05;2.44;0.273;80;60;2;4;2
KP-80X60X2.5;D;80×60;2.5;80×60×2,5;80 × 60;5.17;6.59;60.12;38.61;15.03;12.87;3.02;2.42;0.271;80;60;2.5;5.0;2.5
KP-80X60X3;D;80×60;3;80×60×3;80 × 60;6.13;7.81;70.04;44.89;17.51;14.96;3.0;2.4;0.27;80;60;3;6;3
KP-80X60X4;D;80×60;4;80×60×4;80 × 60;7.97;10.15;87.91;56.11;21.98;18.7;2.94;2.35;0.266;80;60;4;8;4
KP-80X60X5;D;80×60;5;80×60×5;80 × 60;9.7;12.36;103.27;65.66;25.82;21.89;2.89;2.31;0.263;80;60;5;10;5
KP-90X50X2;D;90×50;2;90×50×2;90 × 50;4.19;5.34;57.88;23.37;12.86;9.35;3.29;2.09;0.273;90;50;2;4;2
KP-90X50X2.5;D;90×50;2.5;90×50×2,5;90 × 50;5.17;6.59;70.26;28.23;15.61;11.29;3.27;2.07;0.271;90;50;2.5;5.0;2.5
KP-90X50X3;D;90×50;3;90×50×3;90 × 50;6.13;7.81;81.85;32.74;18.19;13.1;3.24;2.05;0.27;90;50;3;6;3
KP-90X50X4;D;90×50;4;90×50×4;90 × 50;7.97;10.15;102.7;40.7;22.82;16.28;3.18;2.0;0.266;90;50;4;8;4
KP-90X50X5;D;90×50;5;90×50×5;90 × 50;9.7;12.36;120.59;47.37;26.8;18.95;3.12;1.96;0.263;90;50;5;10;5
KP-90X50X6;D;90×50;6;90×50×6;90 × 50;11.33;14.43;135.65;52.83;30.14;21.13;3.07;1.91;0.259;90;50;6;12;6
KP-100X20X2;D;100×20;2;100×20×2;100 × 20;3.56;4.54;46.16;3.29;9.23;3.29;3.19;0.85;0.233;100;20;2;4;2
KP-100X20X2.5;D;100×20;2.5;100×20×2,5;100 × 20;4.39;5.59;55.54;3.85;11.11;3.85;3.15;0.83;0.231;100;20;2.5;5.0;2.5
KP-100X20X3;D;100×20;3;100×20×3;100 × 20;5.19;6.61;64.1;4.31;12.82;4.31;3.11;0.81;0.23;100;20;3;6;3
KP-100X20X4;D;100×20;4;100×20×4;100 × 20;6.71;8.55;78.8;5.0;15.76;5.0;3.04;0.76;0.226;100;20;4;8;4
KP-100X20X5;D;100×20;5;100×20×5;100 × 20;8.13;10.36;90.42;5.4;18.08;5.4;2.95;0.72;0.223;100;20;5;10;5
KP-100X30X2;D;100×30;2;100×30×2;100 × 30;3.88;4.94;55.77;8.22;11.15;5.48;3.36;1.29;0.253;100;30;2;4;2
KP-100X30X2.5;D;100×30;2.5;100×30×2,5;100 × 30;4.78;6.09;67.43;9.79;13.49;6.53;3.33;1.27;0.251;100;30;2.5;5.0;2.5
KP-100X30X3;D;100×30;3;100×30×3;100 × 30;5.66;7.21;78.22;11.19;15.64;7.46;3.29;1.25;0.25;100;30;3;6;3
KP-100X30X4;D;100×30;4;100×30×4;100 × 30;7.34;9.35;97.24;13.51;19.45;9.0;3.23;1.2;0.246;100;30;4;8;4
KP-100X30X5;D;100×30;5;100×30×5;100 × 30;8.91;11.36;113.01;15.24;22.6;10.16;3.15;1.16;0.243;100;30;5;10;5
KP-100X30X6;D;100×30;6;100×30×6;100 × 30;10.39;13.23;125.65;16.47;25.13;10.98;3.08;1.12;0.239;100;30;6;12;6
KP-100X40X2;D;100×40;2;100×40×2;100 × 40;4.19;5.34;65.37;15.61;13.07;7.81;3.5;1.71;0.273;100;40;2;4;2
KP-100X40X2.5;D;100×40;2.5;100×40×2,5;100 × 40;5.17;6.59;79.31;18.78;15.86;9.39;3.47;1.69;0.271;100;40;2.5;5.0;2.5
KP-100X40X3;D;100×40;3;100×40×3;100 × 40;6.13;7.81;92.33;21.67;18.47;10.84;3.44;1.67;0.27;100;40;3;6;3
KP-100X40X4;D;100×40;4;100×40×4;100 × 40;7.97;10.15;115.69;26.69;23.14;13.34;3.38;1.62;0.266;100;40;4;8;4
KP-100X40X5;D;100×40;5;100×40×5;100 × 40;9.7;12.36;135.59;30.76;27.12;15.38;3.31;1.58;0.263;100;40;5;10;5
KP-100X40X6;D;100×40;6;100×40×6;100 × 40;11.33;14.43;152.19;33.96;30.44;16.98;3.25;1.53;0.259;100;40;6;12;6
KP-100X50X2;D;100×50;2;100×50×2;100 × 50;4.5;5.74;74.98;25.67;15.0;10.27;3.62;2.12;0.293;100;50;2;4;2
KP-100X50X2.5;D;100×50;2.5;100×50×2,5;100 × 50;5.56;7.09;91.2;31.06;18.24;12.42;3.59;2.09;0.291;100;50;2.5;5.0;2.5
KP-100X50X3;D;100×50;3;100×50×3;100 × 50;6.6;8.41;106.45;36.06;21.29;14.42;3.56;2.07;0.29;100;50;3;6;3
KP-100X50X4;D;100×50;4;100×50×4;100 × 50;8.59;10.95;134.13;44.95;26.83;17.98;3.5;2.03;0.286;100;50;4;8;4
KP-100X50X5;D;100×50;5;100×50×5;100 × 50;10.48;13.36;158.17;52.45;31.63;20.98;3.44;1.98;0.283;100;50;5;10;5
KP-100X50X6;D;100×50;6;100×50×6;100 × 50;12.27;15.63;178.73;58.67;35.75;23.47;3.38;1.94;0.279;100;50;6;12;6
KP-100X60X2;D;100×60;2;100×60×2;100 × 60;4.82;6.14;84.58;38.6;16.92;12.87;3.71;2.51;0.313;100;60;2;4;2
KP-100X60X2.5;D;100×60;2.5;100×60×2,5;100 × 60;5.96;7.59;103.09;46.88;20.62;15.63;3.69;2.49;0.311;100;60;2.5;5.0;2.5
KP-100X60X3;D;100×60;3;100×60×3;100 × 60;7.07;9.01;120.57;54.65;24.11;18.22;3.66;2.46;0.31;100;60;3;6;3
KP-100X60X4;D;100×60;4;100×60×4;100 × 60;9.22;11.75;152.57;68.68;30.51;22.89;3.6;2.42;0.306;100;60;4;8;4
KP-100X60X5;D;100×60;5;100×60×5;100 × 60;11.27;14.36;180.76;80.82;36.15;26.94;3.55;2.37;0.303;100;60;5;10;5
KP-100X60X6;D;100×60;6;100×60×6;100 × 60;13.21;16.83;205.28;91.2;41.06;30.4;3.49;2.33;0.299;100;60;6;12;6
KP-100X80X2;D;100×80;2;100×80×2;100 × 80;5.45;6.94;103.8;73.87;20.76;18.47;3.87;3.26;0.353;100;80;2;4;2
KP-100X80X2.5;D;100×80;2.5;100×80×2,5;100 × 80;6.74;8.59;126.86;90.17;25.37;22.54;3.84;3.24;0.351;100;80;2.5;5.0;2.5
KP-100X80X3;D;100×80;3;100×80×3;100 × 80;8.01;10.21;148.81;105.64;29.76;26.41;3.82;3.22;0.35;100;80;3;6;3
KP-100X80X4;D;100×80;4;100×80×4;100 × 80;10.48;13.35;189.46;134.16;37.89;33.54;3.77;3.17;0.346;100;80;4;8;4
KP-100X80X5;D;100×80;5;100×80×5;100 × 80;12.84;16.36;225.92;159.6;45.18;39.9;3.72;3.12;0.343;100;80;5;10;5
KP-100X80X6;D;100×80;6;100×80×6;100 × 80;15.1;19.23;258.37;182.09;51.67;45.52;3.67;3.08;0.339;100;80;6;12;6
KP-120X40X3;D;120×40;3;120×40×3;120 × 40;7.07;9.01;148.04;25.79;24.67;12.89;4.05;1.69;0.31;120;40;3;6;3
KP-120X40X4;D;120×40;4;120×40×4;120 × 40;9.22;11.75;186.88;31.89;31.15;15.95;3.99;1.65;0.306;120;40;4;8;4
KP-120X40X5;D;120×40;5;120×40×5;120 × 40;11.27;14.36;220.79;36.92;36.8;18.46;3.92;1.6;0.303;120;40;5;10;5
KP-120X40X6;D;120×40;6;120×40×6;120 × 40;13.21;16.83;249.94;40.97;41.66;20.48;3.85;1.56;0.299;120;40;6;12;6
KP-120X40X8;D;120×40;8;120×40×8;120 × 40;16.36;20.84;274.72;44.38;45.79;22.19;3.63;1.46;0.286;120;40;8;20.0;12.0
KP-120X60X3;D;120×60;3;120×60×3;120 × 60;8.01;10.21;189.11;64.4;31.52;21.47;4.3;2.51;0.35;120;60;3;6;3
KP-120X60X4;D;120×60;4;120×60×4;120 × 60;10.48;13.35;240.73;81.24;40.12;27.08;4.25;2.47;0.346;120;60;4;8;4
KP-120X60X5;D;120×60;5;120×60×5;120 × 60;12.84;16.36;286.95;95.99;47.83;32.0;4.19;2.42;0.343;120;60;5;10;5
KP-120X60X6;D;120×60;6;120×60×6;120 × 60;15.1;19.23;327.98;108.76;54.66;36.25;4.13;2.38;0.339;120;60;6;12;6
KP-120X60X8;D;120×60;8;120×60×8;120 × 60;18.87;24.04;375.24;123.97;62.54;41.32;3.95;2.27;0.326;120;60;8;20.0;12.0
KP-120X80X3;D;120×80;3;120×80×3;120 × 80;8.96;11.41;230.19;123.43;38.36;30.86;4.49;3.29;0.39;120;80;3;6;3
KP-120X80X4;D;120×80;4;120×80×4;120 × 80;11.73;14.95;294.57;157.29;49.1;39.32;4.44;3.24;0.386;120;80;4;8;4
KP-120X80X5;D;120×80;5;120×80×5;120 × 80;14.41;18.36;353.12;187.77;58.85;46.94;4.39;3.2;0.383;120;80;5;10;5
KP-120X80X6;D;120×80;6;120×80×6;120 × 80;16.98;21.63;406.03;215.02;67.67;53.76;4.33;3.15;0.379;120;80;6;12;6
KP-120X80X8;D;120×80;8;120×80×8;120 × 80;21.38;27.24;475.77;251.64;79.29;62.91;4.18;3.04;0.366;120;80;8;20.0;12.0
KP-140X60X3;D;140×60;3;140×60×3;140 × 60;8.96;11.41;278.07;74.16;39.72;24.72;4.94;2.55;0.39;140;60;3;6;3
KP-140X60X4;D;140×60;4;140×60×4;140 × 60;11.73;14.95;355.58;93.81;50.8;31.27;4.88;2.51;0.386;140;60;4;8;4
KP-140X60X5;D;140×60;5;140×60×5;140 × 60;14.41;18.36;425.87;111.16;60.84;37.05;4.82;2.46;0.383;140;60;5;10;5
KP-140X60X6;D;140×60;6;140×60×6;140 × 60;16.98;21.63;489.16;126.33;69.88;42.11;4.76;2.42;0.379;140;60;6;12;6
KP-140X60X8;D;140×60;8;140×60×8;140 × 60;21.38;27.24;568.43;145.77;81.2;48.59;4.57;2.31;0.366;140;60;8;20.0;12.0
KP-140X80X3;D;140×80;3;140×80×3;140 × 80;9.9;12.61;334.39;141.23;47.77;35.31;5.15;3.35;0.43;140;80;3;6;3
KP-140X80X4;D;140×80;4;140×80×4;140 × 80;12.99;16.55;429.58;180.41;61.37;45.1;5.1;3.3;0.426;140;80;4;8;4
KP-140X80X5;D;140×80;5;140×80×5;140 × 80;15.98;20.36;517.03;215.93;73.86;53.98;5.04;3.26;0.423;140;80;5;10;5
KP-140X80X6;D;140×80;6;140×80×6;140 × 80;18.87;24.03;596.96;247.95;85.28;61.99;4.98;3.21;0.419;140;80;6;12;6
KP-140X80X8;D;140×80;8;140×80×8;140 × 80;23.9;30.44;708.0;293.28;101.14;73.32;4.82;3.1;0.406;140;80;8;20.0;12.0
KP-150X50X3;D;150×50;3;150×50×3;150 × 50;8.96;11.41;298.54;52.65;39.8;21.06;5.12;2.15;0.39;150;50;3;6;3
KP-150X50X4;D;150×50;4;150×50×4;150 × 50;11.73;14.95;381.37;66.16;50.85;26.46;5.05;2.1;0.386;150;50;4;8;4
KP-150X50X5;D;150×50;5;150×50×5;150 × 50;14.41;18.36;456.25;77.87;60.83;31.15;4.99;2.06;0.383;150;50;5;10;5
KP-150X50X6;D;150×50;6;150×50×6;150 × 50;16.98;21.63;523.42;87.89;69.79;35.16;4.92;2.02;0.379;150;50;6;12;6
KP-150X50X8;D;150×50;8;150×50×8;150 × 50;21.38;27.24;604.32;99.99;80.58;40.0;4.71;1.92;0.366;150;50;8;20.0;12.0
KP-150X100X3;D;150×100;3;150×100×3;150 × 100;11.31;14.41;460.63;247.63;61.42;49.53;5.65;4.15;0.49;150;100;3;6;3
KP-150X100X4;D;150×100;4;150×100×4;150 × 100;14.87;18.95;594.58;318.56;79.28;63.71;5.6;4.1;0.486;150;100;4;8;4
KP-150X100X5;D;150×100;5;150×100×5;150 × 100;18.33;23.36;719.17;384.01;95.89;76.8;5.55;4.05;0.483;150;100;5;10;5
KP-150X100X6;D;150×100;6;150×100×6;150 × 100;21.69;27.63;834.64;444.17;111.29;88.83;5.5;4.01;0.479;150;100;6;12;6
KP-150X100X8;D;150×100;8;150×100×8;150 × 100;27.66;35.24;1008.02;535.61;134.4;107.12;5.35;3.9;0.466;150;100;8;20.0;12.0
KP-160X80X4;D;160×80;4;160×80×4;160 × 80;14.25;18.15;597.69;203.54;74.71;50.88;5.74;3.35;0.466;160;80;4;8;4
KP-160X80X5;D;160×80;5;160×80×5;160 × 80;17.55;22.36;721.65;244.1;90.21;61.03;5.68;3.3;0.463;160;80;5;10;5
KP-160X80X6;D;160×80;6;160×80×6;160 × 80;20.75;26.43;835.96;280.88;104.49;70.22;5.62;3.26;0.459;160;80;6;12;6
KP-160X80X8;D;160×80;8;160×80×8;160 × 80;26.41;33.64;1001.11;334.92;125.14;83.73;5.46;3.16;0.446;160;80;8;20.0;12.0
KP-160X80X10;D;160×80;10;160×80×10;160 × 80;31.84;40.56;1146.16;379.77;143.27;94.94;5.32;3.06;0.437;160;80;10;25.0;15.0
KP-180X100X4;D;180×100;4;180×100×4;180 × 100;16.76;21.35;926.01;373.88;102.89;74.78;6.59;4.18;0.546;180;100;4;8;4
KP-180X100X5;D;180×100;5;180×100×5;180 × 100;20.69;26.36;1124.15;451.76;124.91;90.35;6.53;4.14;0.543;180;100;5;10;5
KP-180X100X6;D;180×100;6;180×100×6;180 × 100;24.52;31.23;1309.54;523.81;145.5;104.76;6.48;4.1;0.539;180;100;6;12;6
KP-180X100X8;D;180×100;8;180×100×8;180 × 100;31.43;40.04;1598.34;637.43;177.59;127.49;6.32;3.99;0.526;180;100;8;20.0;12.0
KP-180X100X10;D;180×100;10;180×100×10;180 × 100;38.12;48.56;1859.23;736.34;206.58;147.27;6.19;3.89;0.517;180;100;10;25.0;15.0
KP-200X100X4;D;200×100;4;200×100×4;200 × 100;18.01;22.95;1199.67;410.77;119.97;82.15;7.23;4.23;0.586;200;100;4;8;4
KP-200X100X5;D;200×100;5;200×100×5;200 × 100;22.26;28.36;1459.2;496.92;145.92;99.38;7.17;4.19;0.583;200;100;5;10;5
KP-200X100X6;D;200×100;6;200×100×6;200 × 100;26.4;33.63;1703.23;576.89;170.32;115.38;7.12;4.14;0.579;200;100;6;12;6
KP-200X100X8;D;200×100;8;200×100×8;200 × 100;33.94;43.24;2090.65;705.31;209.07;141.06;6.95;4.04;0.566;200;100;8;20.0;12.0
KP-200X100X10;D;200×100;10;200×100×10;200 × 100;41.26;52.56;2444.11;817.68;244.41;163.54;6.82;3.94;0.557;200;100;10;25.0;15.0
KP-200X120X4;D;200×120;4;200×120×4;200 × 120;19.27;24.55;1353.35;617.64;135.34;102.94;7.43;5.02;0.626;200;120;4;8;4
KP-200X120X5;D;200×120;5;200×120×5;200 × 120;23.83;30.36;1649.36;750.12;164.94;125.02;7.37;4.97;0.623;200;120;5;10;5
KP-200X120X6;D;200×120;6;200×120×6;200 × 120;28.29;36.03;1929.11;874.32;192.91;145.72;7.32;4.93;0.619;200;120;6;12;6
KP-200X120X8;D;200×120;8;200×120×8;200 × 120;36.46;46.44;2385.73;1078.9;238.57;179.82;7.17;4.82;0.606;200;120;8;20.0;12.0
KP-200X120X10;D;200×120;10;200×120×10;200 × 120;44.4;56.56;2805.44;1262.04;280.54;210.34;7.04;4.72;0.597;200;120;10;25.0;15.0
KP-200X150X4;D;200×150;4;200×150×4;200 × 150;21.15;26.95;1583.88;1021.01;158.39;136.13;7.67;6.16;0.686;200;150;4;8;4
KP-200X150X5;D;200×150;5;200×150×5;200 × 150;26.18;33.36;1934.61;1245.0;193.46;166.0;7.62;6.11;0.683;200;150;5;10;5
KP-200X150X6;D;200×150;6;200×150×6;200 × 150;31.11;39.63;2267.95;1457.08;226.79;194.28;7.56;6.06;0.679;200;150;6;12;6
KP-200X150X8;D;200×150;8;200×150×8;200 × 150;40.22;51.24;2828.36;1815.44;282.84;242.06;7.43;5.95;0.666;200;150;8;20.0;12.0
KP-200X150X10;D;200×150;10;200×150×10;200 × 150;49.11;62.56;3347.44;2143.21;334.74;285.76;7.31;5.85;0.657;200;150;10;25.0;15.0
KP-250X150X5;D;250×150;5;250×150×5;250 × 150;30.11;38.36;3304.09;1507.92;264.33;201.06;9.28;6.27;0.783;250;150;5;10;5
KP-250X150X6;D;250×150;6;250×150×6;250 × 150;35.82;45.63;3885.43;1768.3;310.83;235.77;9.23;6.23;0.779;250;150;6;12;6
KP-250X150X8;D;250×150;8;250×150×8;250 × 150;46.5;59.24;4885.49;2219.14;390.84;295.89;9.08;6.12;0.766;250;150;8;20.0;12.0
KP-250X150X10;D;250×150;10;250×150×10;250 × 150;56.96;72.56;5824.54;2634.04;465.96;351.21;8.96;6.02;0.757;250;150;10;25.0;15.0
KP-250X150X12.5;D;250×150;12.5;250×150×12,5;250 × 150;68.32;87.04;6631.79;3002.04;530.54;400.27;8.73;5.87;0.736;250;150;12.5;37.5;25.0
KP-300X100X5;D;300×100;5;300×100×5;300 × 100;30.11;38.36;4065.09;722.76;271.01;144.55;10.29;4.34;0.783;300;100;5;10;5
KP-300X100X6;D;300×100;6;300×100×6;300 × 100;35.82;45.63;4776.6;842.33;318.44;168.47;10.23;4.3;0.779;300;100;6;12;6
KP-300X100X8;D;300×100;8;300×100×8;300 × 100;46.5;59.24;5977.42;1044.73;398.49;208.95;10.04;4.2;0.766;300;100;8;20.0;12.0
KP-300X100X10;D;300×100;10;300×100×10;300 × 100;56.96;72.56;7105.36;1224.34;473.69;244.87;9.9;4.11;0.757;300;100;10;25.0;15.0
KP-300X100X12.5;D;300×100;12.5;300×100×12,5;300 × 100;68.32;87.04;8008.3;1373.8;533.89;274.76;9.59;3.97;0.736;300;100;12.5;37.5;25.0
KP-300X200X5;D;300×200;5;300×200×5;300 × 200;37.96;48.36;6240.92;3360.86;416.06;336.09;11.36;8.34;0.983;300;200;5;10;5
KP-300X200X6;D;300×200;6;300×200×6;300 × 200;45.24;57.63;7370.04;3962.11;491.34;396.21;11.31;8.29;0.979;300;200;6;12;6
KP-300X200X8;D;300×200;8;300×200×8;300 × 200;59.06;75.24;9388.84;5041.48;625.92;504.15;11.17;8.19;0.966;300;200;8;20.0;12.0
KP-300X200X10;D;300×200;10;300×200×10;300 × 200;72.66;92.56;11312.02;6057.44;754.13;605.74;11.05;8.09;0.957;300;200;10;25.0;15.0
KP-300X200X12.5;D;300×200;12.5;300×200×12,5;300 × 200;87.95;112.04;13177.57;7059.39;878.5;705.94;10.85;7.94;0.936;300;200;12.5;37.5;25.0
KP-400X200X6;D;400×200;6;400×200×6;400 × 200;54.66;69.63;14789.02;5091.55;739.45;509.15;14.57;8.55;1.179;400;200;6;12;6
KP-400X200X8;D;400×200;8;400×200×8;400 × 200;71.62;91.24;18973.63;6516.89;948.68;651.69;14.42;8.45;1.166;400;200;8;20.0;12.0
KP-400X200X10;D;400×200;10;400×200×10;400 × 200;88.36;112.56;23001.43;7864.11;1150.07;786.41;14.29;8.36;1.157;400;200;10;25.0;15.0
KP-400X200X12.5;D;400×200;12.5;400×200×12,5;400 × 200;107.57;137.04;27098.15;9259.91;1354.91;925.99;14.06;8.22;1.136;400;200;12.5;37.5;25.0
