k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;iv;ey;ex;U;d_a;d_b;d_t;d_r
L-180X180X18;E;180×180;18;L 180×180×18;180 × 180;48.6;61.91;1865.31;1865.31;144.64;144.64;5.49;5.49;3.52;5.1;5.1;0.72;180;180;18;18
L-200X200X16;E;200×200;16;L 200×200×16;200 × 200;48.5;61.79;2340.98;2340.98;161.7;161.7;6.16;6.16;3.94;5.52;5.52;0.8;200;200;16;18
L-200X200X18;E;200×200;18;L 200×200×18;200 × 200;54.25;69.11;2599.37;2599.37;180.56;180.56;6.13;6.13;3.93;5.6;5.6;0.8;200;200;18;18
L-200X200X20;E;200×200;20;L 200×200×20;200 × 200;59.93;76.35;2850.22;2850.22;199.08;199.08;6.11;6.11;3.92;5.68;5.68;0.8;200;200;20;18
L-200X200X24;E;200×200;24;L 200×200×24;200 × 200;71.11;90.59;3330.31;3330.31;235.15;235.15;6.06;6.06;3.9;5.84;5.84;0.8;200;200;24;18
L-30X20X3;N;30×20;3;L 30×20×3;30 × 20;1.12;1.42;1.26;0.44;0.63;0.3;0.94;0.56;0.43;1.0;0.51;0.1;30;20;3;3.1
L-30X20X4;N;30×20;4;L 30×20×4;30 × 20;1.45;1.85;1.6;0.56;0.81;0.38;0.93;0.55;0.42;1.04;0.54;0.1;30;20;4;3.1
L-40X20X3;N;40×20;3;L 40×20×3;40 × 20;1.35;1.72;2.81;0.48;1.09;0.31;1.28;0.53;0.42;1.43;0.44;0.12;40;20;3;3.1
L-40X20X4;N;40×20;4;L 40×20×4;40 × 20;1.77;2.25;3.6;0.6;1.43;0.4;1.27;0.52;0.42;1.47;0.48;0.12;40;20;4;3.1
L-40X25X4;N;40×25;4;L 40×25×4;40 × 25;1.92;2.45;3.91;1.17;1.48;0.63;1.26;0.69;0.54;1.37;0.63;0.13;40;25;4;3.1
L-45X30X4;N;45×30;4;L 45×30×4;45 × 30;2.25;2.86;5.75;2.04;1.9;0.9;1.42;0.84;0.64;1.48;0.74;0.15;45;30;4;4.5
L-45X30X5;N;45×30;5;L 45×30×5;45 × 30;2.76;3.52;6.97;2.45;2.34;1.1;1.41;0.83;0.64;1.52;0.78;0.15;45;30;5;4.5
L-50X30X5;N;50×30;5;L 50×30×5;50 × 30;2.96;3.77;9.38;2.53;2.87;1.12;1.58;0.82;0.64;1.73;0.74;0.16;50;30;5;4.5
L-60X30X5;N;60×30;5;L 60×30×5;60 × 30;3.35;4.27;15.62;2.64;4.08;1.14;1.91;0.79;0.63;2.17;0.69;0.18;60;30;5;4.5
