stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-45X45X4;Kare;45×45×4;45;45;4;4.83;6.15;16.61;16.61;7.38;7.38;1.64;1.64;0.166;28.96;57.91
KP-50X50X1.5;Kare;50×50×1,5;50;50;1.5;2.24;2.85;11.07;11.07;4.43;4.43;1.97;1.97;0.195;13.43;26.87
KP-50X50X2;Kare;50×50×2;50;50;2;2.93;3.74;14.15;14.15;5.66;5.66;1.95;1.95;0.193;17.6;35.2
KP-50X50X2.5;Kare;50×50×2,5;50;50;2.5;3.6;4.59;16.94;16.94;6.78;6.78;1.92;1.92;0.191;21.61;43.23
KP-50X50X3;Kare;50×50×3;50;50;3;4.25;5.41;19.47;19.47;7.79;7.79;1.9;1.9;0.19;25.47;50.95
KP-50X50X4;Kare;50×50×4;50;50;4;5.45;6.95;23.74;23.74;9.49;9.49;1.85;1.85;0.186;32.72;65.45
KP-60X60X2;Kare;60×60×2;60;60;2;3.56;4.54;25.14;25.14;8.38;8.38;2.35;2.35;0.233;21.37;42.74
KP-60X60X2.5;Kare;60×60×2,5;60;60;2.5;4.39;5.59;30.34;30.34;10.11;10.11;2.33;2.33;0.231;26.32;52.65
KP-60X60X3;Kare;60×60×3;60;60;3;5.19;6.61;35.13;35.13;11.71;11.71;2.31;2.31;0.23;31.12;62.25
KP-60X60X4;Kare;60×60×4;60;60;4;6.71;8.55;43.55;43.55;14.52;14.52;2.26;2.26;0.226;40.26;80.52
KP-60X60X5;Kare;60×60×5;60;60;5;8.13;10.36;50.49;50.49;16.83;16.83;2.21;2.21;0.223;48.78;97.55
KP-70X70X2;Kare;70×70×2;70;70;2;4.19;5.34;40.73;40.73;11.64;11.64;2.76;2.76;0.273;25.14;50.27
KP-70X70X2.5;Kare;70×70×2,5;70;70;2.5;5.17;6.59;49.41;49.41;14.12;14.12;2.74;2.74;0.271;31.03;62.07
KP-70X70X3;Kare;70×70×3;70;70;3;6.13;7.81;57.53;57.53;16.44;16.44;2.71;2.71;0.27;36.78;73.55
KP-70X70X4;Kare;70×70×4;70;70;4;7.97;10.15;72.12;72.12;20.61;20.61;2.67;2.67;0.266;47.8;95.59
KP-70X70X5;Kare;70×70×5;70;70;5;9.7;12.36;84.63;84.63;24.18;24.18;2.62;2.62;0.263;58.2;116.39
KP-80X80X2;Kare;80×80×2;80;80;2;4.82;6.14;61.7;61.7;15.42;15.42;3.17;3.17;0.313;28.91;57.81
KP-80X80X2.5;Kare;80×80×2,5;80;80;2.5;5.96;7.59;75.15;75.15;18.79;18.79;3.15;3.15;0.311;35.74;71.49
KP-80X80X3;Kare;80×80×3;80;80;3;7.07;9.01;87.84;87.84;21.96;21.96;3.12;3.12;0.31;42.43;84.86
KP-80X80X4;Kare;80×80×4;80;80;4;9.22;11.75;111.04;111.04;27.76;27.76;3.07;3.07;0.306;55.33;110.67
KP-80X80X5;Kare;80×80×5;80;80;5;11.27;14.36;131.44;131.44;32.86;32.86;3.03;3.03;0.303;67.62;135.23
KP-90X90X2;Kare;90×90×2;90;90;2;5.45;6.94;88.86;88.86;19.75;19.75;3.58;3.58;0.353;32.67;65.35
KP-90X90X2.5;Kare;90×90×2,5;90;90;2.5;6.74;8.59;108.55;108.55;24.12;24.12;3.56;3.56;0.351;40.45;80.91
KP-90X90X3;Kare;90×90×3;90;90;3;8.01;10.21;127.28;127.28;28.28;28.28;3.53;3.53;0.35;48.08;96.16
KP-90X90X4;Kare;90×90×4;90;90;4;10.48;13.35;161.92;161.92;35.98;35.98;3.48;3.48;0.346;62.87;125.74
KP-90X90X5;Kare;90×90×5;90;90;5;12.84;16.36;192.93;192.93;42.87;42.87;3.43;3.43;0.343;77.04;154.07
KP-90X90X6;Kare;90×90×6;90;90;6;15.1;19.23;220.47;220.47;48.99;48.99;3.39;3.39;0.339;90.59;181.17
KP-100X100X2;Kare;100×100×2;100;100;2;6.07;7.74;123.01;123.01;24.6;24.6;3.99;3.99;0.393;36.44;72.88
KP-100X100X2.5;Kare;100×100×2,5;100;100;2.5;7.53;9.59;150.63;150.63;30.13;30.13;3.96;3.96;0.391;45.16;90.33
KP-100X100X3;Kare;100×100×3;100;100;3;8.96;11.41;177.05;177.05;35.41;35.41;3.94;3.94;0.39;53.73;107.47
KP-100X100X4;Kare;100×100×4;100;100;4;11.73;14.95;226.35;226.35;45.27;45.27;3.89;3.89;0.386;70.4;140.81
KP-100X100X5;Kare;100×100×5;100;100;5;14.41;18.36;271.1;271.1;54.22;54.22;3.84;3.84;0.383;86.46;172.91
KP-100X100X6;Kare;100×100×6;100;100;6;16.98;21.63;311.47;311.47;62.29;62.29;3.79;3.79;0.379;101.89;203.78
KP-120X120X3;Kare;120×120×3;120;120;3;10.84;13.81;312.35;312.35;52.06;52.06;4.76;4.76;0.47;65.04;130.07
KP-120X120X4;Kare;120×120×4;120;120;4;14.25;18.15;402.27;402.27;67.05;67.05;4.71;4.71;0.466;85.48;170.95
KP-120X120X5;Kare;120×120×5;120;120;5;17.55;22.36;485.47;485.47;80.91;80.91;4.66;4.66;0.463;105.3;210.59
KP-120X120X6;Kare;120×120×6;120;120;6;20.75;26.43;562.15;562.15;93.69;93.69;4.61;4.61;0.459;124.5;249.0
KP-120X120X8;Kare;120×120×8;120;120;8;26.41;33.64;676.86;676.86;112.81;112.81;4.49;4.49;0.446;158.45;316.91
KP-140X140X3;Kare;140×140×3;140;140;3;12.72;16.21;503.34;503.34;71.91;71.91;5.57;5.57;0.55;76.34;152.68
KP-140X140X4;Kare;140×140×4;140;140;4;16.76;21.35;651.61;651.61;93.09;93.09;5.52;5.52;0.546;100.55;201.1
KP-140X140X5;Kare;140×140×5;140;140;5;20.69;26.36;790.55;790.55;112.94;112.94;5.48;5.48;0.543;124.14;248.27
KP-140X140X6;Kare;140×140×6;140;140;6;24.52;31.23;920.42;920.42;131.49;131.49;5.43;5.43;0.539;147.11;294.21
KP-140X140X8;Kare;140×140×8;140;140;8;31.43;40.04;1126.76;1126.76;160.97;160.97;5.3;5.3;0.526;188.6;377.2
KP-150X150X3;Kare;150×150×3;150;150;3;13.67;17.41;622.73;622.73;83.03;83.03;5.98;5.98;0.59;81.99;163.99
KP-150X150X4;Kare;150×150×4;150;150;4;18.01;22.95;807.81;807.81;107.71;107.71;5.93;5.93;0.586;108.08;216.17
KP-150X150X5;Kare;150×150×5;150;150;5;22.26;28.36;982.11;982.11;130.95;130.95;5.89;5.89;0.583;133.56;267.11
KP-150X150X6;Kare;150×150×6;150;150;6;26.4;33.63;1145.9;1145.9;152.79;152.79;5.84;5.84;0.579;158.41;316.82
KP-150X150X8;Kare;150×150×8;150;150;8;33.95;43.24;1411.81;1411.81;188.24;188.24;5.71;5.71;0.566;203.67;407.34
KP-160X160X4;Kare;160×160×4;160;160;4;19.27;24.55;987.17;987.17;123.4;123.4;6.34;6.34;0.626;115.62;231.24
KP-160X160X5;Kare;160×160×5;160;160;5;23.83;30.36;1202.35;1202.35;150.29;150.29;6.29;6.29;0.623;142.98;285.95
KP-160X160X6;Kare;160×160×6;160;160;6;28.29;36.03;1405.47;1405.47;175.68;175.68;6.25;6.25;0.619;169.71;339.43
KP-160X160X8;Kare;160×160×8;160;160;8;36.46;46.44;1741.21;1741.21;217.65;217.65;6.12;6.12;0.606;218.74;437.48
KP-160X160X10;Kare;160×160×10;160;160;10;44.4;56.57;2047.63;2047.63;255.95;255.95;6.02;6.02;0.597;266.42;532.85
KP-180X180X4;Kare;180×180×4;180;180;4;21.78;27.75;1421.74;1421.74;157.97;157.97;7.16;7.16;0.706;130.69;261.39
KP-180X180X5;Kare;180×180×5;180;180;5;26.97;34.36;1736.86;1736.86;192.98;192.98;7.11;7.11;0.703;161.82;323.63
KP-180X180X6;Kare;180×180×6;180;180;6;32.05;40.83;2036.51;2036.51;226.28;226.28;7.06;7.06;0.699;192.32;384.64
KP-180X180X8;Kare;180×180×8;180;180;8;41.48;52.84;2545.83;2545.83;282.87;282.87;6.94;6.94;0.686;248.89;497.77
KP-180X180X10;Kare;180×180×10;180;180;10;50.68;64.57;3016.75;3016.75;335.19;335.19;6.84;6.84;0.677;304.1;608.21
KP-200X200X4;Kare;200×200×4;200;200;4;24.29;30.95;1968.12;1968.12;196.81;196.81;7.97;7.97;0.786;145.76;291.53
KP-200X200X5;Kare;200×200×5;200;200;5;30.11;38.36;2410.08;2410.08;241.01;241.01;7.93;7.93;0.783;180.66;361.31
